指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),股息率(当前值),股息率(分位点%),股息率(最小值),股息率(20%分位点值),股息率(50%分位点值),股息率(80%分位点值),股息率(最大正值),净资产收益率(ROE)(2026Q1),净资产收益率(ROE)(2025Q4),净资产收益率(ROE)(2025Q1),关注度
="932596",港股通红利低波,2016-02-04,,,=0.0187,=7.6151,=0.1600,=7.1792,=7.7164,=8.0128,=8.2602,=8.5745,=0.7027,=0.3000,=0.6528,=0.6913,=0.7219,=0.7570,=0.7956,=1.3142,=0.4000,=1.2161,=1.2779,=1.3247,=1.3593,=1.4099,=0.0515,=0.2800,=0.0473,=0.0494,=0.0527,=0.0549,=0.0579,,=0.0894,,=97
="930914",港股通高股息,2016-11-25,=0.0020,=4963.1959,=0.0096,=7.6345,=0.7682,=3.4280,=4.4275,=5.9532,=7.8179,=11.1979,=0.7356,=0.6650,=0.3979,=0.5030,=0.6210,=0.8516,=1.1764,=1.2096,=0.7627,=0.5144,=0.7064,=0.9239,=1.2553,=2.2126,=0.0527,=0.1382,=0.0387,=0.0550,=0.0658,=0.0865,=0.1194,,=0.0918,,=727
="000914",300金融,2007-07-02,=-0.0126,=5926.7700,=-0.1178,=7.6457,=0.4209,=5.2769,=6.6022,=7.8391,=8.6017,=11.3863,=0.7490,=0.2593,=0.5962,=0.7048,=0.8942,=1.1299,=1.4919,=2.0835,=0.7910,=1.1210,=1.4310,=1.8123,=2.0955,=2.7052,=0.0392,=0.5857,=0.0235,=0.0340,=0.0376,=0.0467,=0.0618,=0.0223,=0.0897,=0.0236,=342
="930992",沪港深红利低波,2017-06-28,,,=-0.0414,=7.7128,=0.7923,=4.0130,=5.1802,=5.9314,=7.7587,=8.5109,=0.7217,=0.7932,=0.4277,=0.5380,=0.5920,=0.7252,=0.7950,=1.1410,=0.7464,=0.4496,=0.6014,=0.8765,=1.1836,=1.3912,=0.0514,=0.0549,=0.0478,=0.0540,=0.0716,=0.0767,=0.0949,,=0.0878,,=51
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0020,=3678.3700,=0.0232,=7.7187,=0.7924,=4.9972,=5.5641,=6.2120,=7.7438,=8.5526,=0.7402,=0.7578,=0.5264,=0.5934,=0.6350,=0.7562,=0.8375,=0.9174,=0.8281,=0.5404,=0.5948,=0.6716,=0.8801,=1.0234,=0.0495,=0.1096,=0.0450,=0.0520,=0.0694,=0.0774,=0.0871,,=0.0956,,=116
="000029",180价值,2009-01-09,=-0.0122,=3981.7200,=-0.1059,=7.9031,=0.5136,=5.6894,=6.9075,=7.8730,=8.5069,=10.8138,=0.7868,=0.1418,=0.6666,=0.8015,=0.8586,=1.0653,=1.4433,=1.0670,=0.7902,=0.6198,=0.7825,=0.9448,=1.0705,=1.4032,=0.0422,=0.4312,=0.0290,=0.0392,=0.0429,=0.0522,=0.0634,=0.0228,=0.0896,=0.0243,=557
="000934",中证金融,2009-07-03,=-0.0126,=5555.4400,=-0.1139,=7.9343,=0.4299,=5.7083,=6.8944,=8.0939,=8.8714,=11.5527,=0.7592,=0.2576,=0.6117,=0.7181,=0.9030,=1.1433,=1.5017,=2.0911,=0.8042,=1.1467,=1.4503,=1.8024,=2.0849,=2.6696,=0.0381,=0.5874,=0.0232,=0.0331,=0.0366,=0.0445,=0.0593,=0.0220,=0.0873,=0.0231,=1151
="H50040",上红低波,2014-03-21,=-0.0113,=10517.0794,=-0.0462,=7.9409,=0.6913,=4.6938,=5.9512,=7.1066,=9.6645,=14.3118,=0.8022,=0.4097,=0.5647,=0.6911,=0.8318,=1.3609,=1.8756,=1.5472,=0.9308,=0.6380,=0.8684,=1.2018,=1.4060,=1.6845,=0.0447,=0.4336,=0.0230,=0.0391,=0.0465,=0.0588,=0.0718,=0.0234,=0.0936,=0.0244,=367
="H30269",红利低波,2013-12-19,=-0.0095,=10607.5565,=-0.0563,=7.9601,=0.6995,=4.5638,=5.5488,=6.9137,=9.4786,=14.4342,=0.8136,=0.5276,=0.5386,=0.6570,=0.7994,=1.3872,=1.9670,=1.5384,=0.9270,=0.6111,=0.8850,=1.0977,=1.4173,=1.6703,=0.0454,=0.3899,=0.0246,=0.0406,=0.0503,=0.0605,=0.0732,=0.0236,=0.0946,=0.0236,=4536
="000992",全指金融,2011-08-02,=-0.0117,=5317.0500,=-0.1121,=8.0971,=0.4270,=5.9310,=7.1022,=8.2737,=9.0288,=11.6339,=0.7605,=0.2535,=0.6188,=0.7234,=0.9099,=1.1568,=1.5107,=2.0869,=0.8071,=1.1568,=1.4432,=1.8065,=2.0814,=2.6668,=0.0377,=0.5911,=0.0229,=0.0327,=0.0360,=0.0437,=0.0581,=0.0217,=0.0846,=0.0227,=2700
