指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="930599",中证高装,2015-03-02,=0.0052,=9017.1400,=0.0698,=45.9934,=0.8124,=19.5438,=27.7467,=34.6674,=45.2428,=65.7817,=4.1577,=0.9411,=1.8509,=2.5592,=3.0980,=3.5926,=4.7910,=2.3830,=0.7498,=1.2322,=1.6106,=1.9495,=2.4252,=2.8921,=0.0688,=0.0777,=0.0591,=0.0097,=106
="980030",消费电子,2015-02-17,=-0.0035,=7666.2200,=0.0551,=46.0616,=0.7766,=18.6467,=31.2644,=38.0111,=46.7649,=62.1614,=3.9659,=0.7537,=2.0026,=2.5857,=2.9357,=4.1022,=5.7500,=1.9923,=0.7356,=1.1413,=1.3911,=1.5578,=2.2839,=3.4515,=0.0570,=0.0565,=0.0445,=0.0067,=364
="399101",中小综指,2005-12-01,=0.0049,=15720.1600,=0.0808,=46.7688,=0.7688,=22.7937,=34.4929,=40.6835,=48.9983,=65.2068,=3.0135,=0.5837,=1.7151,=2.3689,=2.8089,=3.5281,=4.7418,=2.0972,=0.5474,=1.1654,=1.6542,=2.0367,=2.7307,=3.9938,=0.0598,=0.0613,=0.0570,=0.0115,=24
="930598",稀土产业,2015-03-02,=-0.0094,=3270.4700,=0.1652,=47.1151,=0.5660,=21.1133,=29.2013,=40.0299,=74.5968,=288.7421,=3.8841,=0.9880,=1.4810,=1.9699,=2.3149,=2.9785,=4.3047,=1.9174,=0.8825,=0.6656,=0.9718,=1.1869,=1.6842,=2.2389,=0.0748,=0.0692,=0.0542,=0.0070,=707
="1000012",中小板全指,2005-12-01,=0.0049,=15720.1600,=0.0808,=47.1678,=0.7469,=22.6352,=35.3655,=41.3396,=50.3767,=73.8161,=3.0306,=0.5833,=1.7125,=2.3729,=2.8247,=3.5410,=4.7425,=2.0733,=0.5392,=1.1448,=1.6386,=2.0233,=2.7097,=3.9859,=0.0595,=0.0601,=0.0561,=0.0114,=561
="931152",CS创新药,2019-04-22,=-0.0098,=1834.1300,=-0.0317,=47.7325,=0.6529,=27.6044,=36.3093,=43.0907,=53.5746,=74.6844,=3.8746,=0.3921,=2.5551,=3.3294,=4.2820,=5.9835,=8.7449,=5.8107,=0.8351,=2.2436,=2.8981,=3.3521,=5.4464,=9.4897,=0.0755,=0.0741,=0.0606,=0.0097,=1767
="930726",CS生医,2015-08-05,=-0.0079,=2367.9500,=-0.0304,=48.4549,=0.4744,=24.4874,=31.9329,=49.4140,=62.4678,=107.1179,=4.2211,=0.1389,=3.1768,=4.5298,=6.9904,=8.5259,=14.2976,=7.7504,=0.2844,=4.8871,=6.8831,=10.2309,=12.5955,=19.9452,=0.0801,=0.1029,=0.0910,=0.0096,=826
="930820",CS高端制,2016-05-11,=0.0027,=9046.9100,=0.0685,=48.7634,=0.9480,=21.5994,=28.8825,=36.3835,=41.7462,=53.9836,=4.1160,=0.9032,=2.0597,=2.7011,=3.1747,=3.8272,=4.9567,=2.7067,=0.9342,=1.1980,=1.7069,=2.0460,=2.4371,=3.0730,=0.0663,=0.0735,=0.0590,=0.0091,=301
="930821",中证VR,2016-05-11,=-0.0035,=3317.7700,=0.0390,=49.1537,=0.6696,=17.6816,=31.0782,=42.6685,=55.8052,=175.0572,=3.1910,=0.6463,=1.7358,=2.3140,=2.8342,=4.0861,=5.0269,=1.9072,=0.5039,=1.1117,=1.4667,=1.8977,=2.8975,=3.7313,=0.0470,=0.0346,=0.0318,=0.0081,=145
="399316",巨潮小盘,2005-02-03,=0.0001,=6688.0100,=0.1123,=49.3874,=0.9332,=17.4883,=24.6121,=29.2593,=38.1916,=58.4724,=2.4588,=0.7881,=1.3049,=1.7086,=1.9645,=2.5100,=3.4500,=1.5494,=0.7424,=0.7478,=1.0120,=1.2297,=1.8441,=2.6786,=0.0452,=0.0467,=0.0462,=0.0118,=22
