指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="000688",科创50,2020-07-23,=0.0020,=1308.5900,=0.3232,=155.4153,=0.9573,=35.5957,=42.2745,=61.9011,=94.8276,=196.9562,=5.9761,=0.6756,=2.9443,=3.9909,=4.7207,=6.6911,=9.0182,=6.7540,=0.6443,=3.1319,=4.2675,=5.3091,=9.5703,=13.2586,=0.0296,=0.0405,=0.0336,=0.0035,=7127
="000685",科创芯片,2022-06-13,=-0.0033,=2484.6400,=0.5338,=170.8553,=0.8110,=42.1555,=58.7380,=111.8057,=169.5853,=235.0390,=7.6168,=0.9265,=3.1235,=3.9295,=4.7198,=5.7848,=9.3348,=15.6649,=0.9230,=7.4796,=9.7844,=11.8598,=13.2206,=19.5619,=0.0311,=0.0296,=0.0194,=0.0010,=347
="000698",科创100,2023-08-07,=0.0025,=1372.1800,=0.4553,=182.4322,=0.2835,=60.6995,=128.8248,=222.4655,=259.1776,=337.2511,=5.5107,=0.8974,=2.7397,=3.5146,=4.0284,=4.5342,=6.2483,=8.1709,=0.8748,=4.0312,=4.9738,=5.8099,=6.9382,=9.6182,=0.0206,=0.0158,=0.0129,=0.0035,=420
="000690",科创成长,2022-11-04,=-0.0050,=1792.4600,=0.7426,=183.8274,=0.8748,=26.4295,=36.7306,=78.1265,=123.2244,=288.8500,=12.9540,=0.9618,=3.7827,=4.7686,=5.3314,=7.3894,=14.3130,=16.5017,=0.9684,=2.7510,=3.9061,=4.5664,=10.1386,=17.8252,=0.0569,=0.0725,=0.0556,=0.0016,=96
="930781",中证影视,2016-02-04,=0.0130,=1663.8200,=0.1348,=193.0728,=0.5167,=16.7066,=42.6412,=187.1422,=-60.3996,=6083.5065,=2.3155,=0.4254,=1.4352,=2.0546,=2.4375,=3.7001,=9.5104,=4.7202,=0.6026,=2.7079,=3.4878,=4.3378,=5.7564,=14.3649,=0.0298,=-0.0036,=0.0165,=0.0093,=169
="930601",中证软件,2015-03-10,=0.0034,=6090.5500,=0.0835,=193.1843,=0.9358,=29.3378,=52.0928,=79.0767,=112.0264,=302.4908,=5.6140,=0.7440,=2.7207,=3.9642,=4.6796,=5.9146,=12.3412,=5.6412,=0.6580,=2.8007,=4.0746,=4.9720,=6.2357,=13.6679,=0.0139,=0.0182,=0.0047,=0.0054,=344
="1000014",科创板全指,2019-07-22,,,,=198.9477,=0.9107,=34.6058,=57.4650,=73.9267,=111.5760,=267.8356,=5.0779,=0.5723,=2.4875,=3.7362,=4.6127,=6.4030,=9.5957,=6.9233,=0.5748,=3.3799,=5.0665,=6.2553,=9.9252,=14.1086,=0.0228,=0.0223,=0.0201,=0.0038,=1237
="000680",科创综指,2025-01-20,=0.0019,=1571.2200,,=201.9095,=0.3198,=115.7401,=138.0372,=212.7624,=243.2261,=278.5830,=5.0756,=0.7252,=3.4337,=3.8682,=4.1800,=5.1995,=5.7749,=6.9307,=0.7162,=4.7291,=5.3754,=5.7706,=7.1115,=7.9864,,,,=0.0038,=112
="000681",科创价格,2025-01-20,=0.0019,=1516.6600,,=201.9095,=0.0923,=196.2369,=203.6703,=221.0745,=259.5740,=278.5830,=5.0756,=0.1692,=4.8899,=5.1019,=5.2596,=5.4395,=5.7749,=6.9307,=0.1692,=6.6486,=6.9629,=7.2135,=7.5090,=7.9864,,,,=0.0038,=24
="399020",创业小盘,2023-11-15,=0.0092,=1712.0100,=0.2598,=217.5519,=0.9293,=48.5170,=78.5662,=132.4857,=198.4425,=237.2716,=3.5718,=0.8173,=1.8521,=2.3953,=3.0541,=3.5524,=3.9800,=3.6556,=0.8546,=1.9895,=2.4854,=3.0201,=3.4978,=3.9748,=0.0305,=0.0186,=0.0295,=0.0065,=11
="H30202",软件指数,2013-07-15,=0.0052,=14480.9500,=0.0879,=228.5484,=0.9091,=45.1036,=65.7595,=89.7022,=147.0079,=372.5263,=5.5555,=0.5103,=2.9348,=4.5175,=5.5027,=6.7371,=11.3683,=7.4370,=0.6091,=3.9010,=5.4106,=6.9122,=8.3786,=17.3788,=0.0084,=0.0152,=0.0021,=0.0055,=286
="931247",中证信创,2012-12-21,=-0.0019,=1405.5400,=0.1015,=233.5833,=0.6291,=66.5979,=100.0447,=198.0057,=278.0532,=369.3964,=5.7698,=0.9125,=2.7947,=3.4047,=4.4613,=5.1184,=6.6294,=4.6103,=0.7997,=2.8203,=3.3673,=3.9156,=4.6103,=5.6628,=0.0127,=0.0263,=0.0163,=0.0043,=79
="931594",卫星产业,2020-12-22,=0.0103,=935.7300,=0.4840,=277.1449,=0.9207,=44.5603,=94.0533,=122.2311,=180.6964,=392.0280,=5.0606,=1,=2.3588,=3.0223,=3.4389,=3.8275,=5.0606,=7.5231,=0.9992,=3.4655,=4.4928,=5.0805,=5.7584,=7.5387,=0.0283,=0.0186,=0.0370,=0.0037,=38
